date,number
2011-01,21
2011-02,22
2011-03,23
2011-04,20
2011-05,17
2011-06,23
2011-07,28
2011-08,23
2011-09,25
2011-10,26
2011-11,19
2011-12,16
2012-01,21
2012-02,18
2012-03,19
2012-04,15
2012-05,11
2012-06,14
2012-07,18
2012-08,14
2012-09,17
2012-10,17
2012-11,16
2012-12,16
2013-01,14
2013-02,16
2013-03,16
2013-04,15
2013-05,14
2013-06,14
2013-07,17
2013-08,18
2013-09,11
2013-10,13
2013-11,16
2013-12,17
2014-01,17
2014-02,17
2014-03,14
2014-04,16
2014-05,15
2014-06,13
2014-07,12
2014-08,17
2014-09,14
2014-10,16
2014-11,15
2014-12,20
2015-01,15
2015-02,15
2015-03,16
2015-04,15
2015-05,13
2015-06,14
2015-07,12
2015-08,15
2015-09,14
2015-10,19
2015-11,15
2015-12,15
2016-01,13
2016-02,12
2016-03,12
2016-04,12
2016-05,11
2016-06,11
2016-07,12
2016-08,10
2016-09,14
2016-10,13
2016-11,14
2016-12,12
2017-01,12
2017-02,12
2017-03,11
2017-04,17
2017-05,12
2017-06,10
2017-07,12
2017-08,11
2017-09,13
2017-10,11
2017-11,15
2017-12,13
2018-01,11
2018-02,13
2018-03,12
2018-04,14
2018-05,15
2018-06,12
2018-07,11
2018-08,15
2018-09,17
2018-10,13
2018-11,13
2018-12,13
2019-01,12
2019-02,13
2019-03,13
2019-04,10
2019-05,8
2019-06,9
2019-07,11
2019-08,11
2019-09,10
2019-10,13
2019-11,9
2019-12,11
2020-01,10
2020-02,10
2020-03,7
2020-04,9
2020-05,9
2020-06,6
2020-07,7
2020-08,7
2020-09,6
2020-10,6
2020-11,5
2020-12,6
2021-01,6
2021-02,6
2021-03,6
2021-04,5
2021-05,6
2021-06,7
2021-07,11
2021-08,7
2021-09,7
2021-10,11
2021-11,11
2021-12,11
2022-01,20
2022-02,23
2022-03,25
2022-04,32
2022-05,39
2022-06,42
2022-07,51
2022-08,54
2022-09,54
2022-10,57
2022-11,69
2022-12,100
2023-01,94
2023-02,69
2023-03,64
2023-04,69
2023-05,62
2023-06,51
2023-07,60
2023-08,54
2023-09,45
2023-10,42
2023-11,40
2023-12,42
2024-01,40
2024-02,38
2024-03,31
2024-04,33
2024-05,43
2024-06,37
